cell,d,k,sigma,N,encoding,cluster,r2_bb,r2_law,Lambda,depth_sel,terms_sel,law_top1_regret,law_top5_regret,law_spearman,bb_top1_regret,bb_top5_regret,bb_spearman
73,3,3,0.0,30,binary,d3_k3_s0.0,0.9927078248610619,0.8815024522144608,0.8879777414244062,2.0,4.0,0.0,0.0,0.9426272949982631,0.0,0.0,1.0
74,3,3,0.0,100,binary,d3_k3_s0.0,0.9999997536732759,0.9977131269603748,0.9977133727238415,2.0,4.0,0.0,0.0,0.9426272949982631,0.0,0.0,1.0
75,3,3,0.0,300,binary,d3_k3_s0.0,0.9999999406090289,0.9970379225772097,0.9970379817922637,2.0,4.0,0.0,0.0,0.9426272949982631,0.0,0.0,1.0
76,3,3,0.1,30,binary,d3_k3_s0.1,0.9764172781463145,0.9565006659568653,0.9796023558418999,2.0,4.0,0.0,0.0,0.9599880106607908,0.0,0.0,0.9826392843374723
77,3,3,0.1,100,binary,d3_k3_s0.1,0.989798346546382,0.9871475625902448,0.9973218949441709,2.0,4.0,0.0,0.0,0.9426272949982631,0.0,0.0,1.0
78,3,3,0.1,300,binary,d3_k3_s0.1,0.9883014190264235,0.9865951520260653,0.9982735358186179,2.0,4.0,0.0,0.0,0.9426272949982631,0.0,0.0,1.0
79,3,3,0.3,30,binary,d3_k3_s0.3,0.8558516124514317,0.7631246776866875,0.8916553600931536,1.0,3.0,0.0,0.0,0.9447699366842808,0.0,0.0,0.9066386915418453
80,3,3,0.3,100,binary,d3_k3_s0.3,0.9184060433175665,0.9242886461001791,1.0,2.0,4.0,0.0,0.0,0.8767251949101539,0.0,0.0,0.8767251949101539
81,3,3,0.3,300,binary,d3_k3_s0.3,0.9039801019898583,0.908270330334812,1.0,2.0,4.0,0.0,0.0,0.9533782441145735,0.0,0.0,0.980837452484619
82,5,1,0.0,30,integer,d5_k1_s0.0,0.9446998482316495,0.9366393817958294,0.9914676958497366,1.0,4.0,0.0078760165782442,0.0,0.9969561860340646,0.04838473216056152,0.0078760165782442,0.9939643293552406
83,5,1,0.0,100,integer,d5_k1_s0.0,0.993790767937848,0.9943303850029267,1.0,1.0,4.0,0.0078760165782442,0.0,0.9970313743423392,0.0,0.0,0.9993538701136426
84,5,1,0.0,300,integer,d5_k1_s0.0,0.9993741611957869,0.9942180476150365,0.9948406575025104,1.0,4.0,0.0078760165782442,0.0,0.9970304368322609,0.0078760165782442,0.0,0.9998308737209824
85,5,1,0.1,30,integer,d5_k1_s0.1,0.9255393834600218,0.8734006529662437,0.94366665381773,2.0,4.0,0.0,0.0,0.9925516936721832,0.05304889148677075,0.0,0.9897882977740018
86,5,1,0.1,100,integer,d5_k1_s0.1,0.9702781958736216,0.9780453951513395,1.0,2.0,4.0,0.0,0.0,0.999305682249222,0.0078760165782442,0.0,0.995934031751115
87,5,1,0.1,300,integer,d5_k1_s0.1,0.9845829902867909,0.9811443812151872,0.9965075477582626,1.0,4.0,0.0078760165782442,0.0,0.9969464359292509,0.02104933407032544,0.0,0.9965304737617077
88,5,1,0.3,30,integer,d5_k1_s0.3,0.8188327774601676,0.9050139949262789,1.0,1.0,4.0,0.0078760165782442,0.0,0.9887439727527301,0.04838473216056152,0.0,0.9881345352674229
89,5,1,0.3,100,integer,d5_k1_s0.3,0.9054788972939161,0.9189106749601339,1.0,1.0,4.0,0.0078760165782442,0.0,0.9964969935977436,0.04838473216056152,0.0078760165782442,0.9913308719397189
90,5,1,0.3,300,integer,d5_k1_s0.3,0.8967965897803879,0.907703887203864,1.0,1.5,4.0,0.0,0.0,0.9983558000657379,0.0,0.0,0.9944188327924228
91,5,1,0.0,30,continuous,d5_k1_s0.0,0.9924205171198138,0.9868655655223882,0.9944026231807993,1.0,4.0,0.0,0.0,0.9865867286670542,0.4726967549297878,0.0,0.9956895355595972
92,5,1,0.0,100,continuous,d5_k1_s0.0,0.9985545609578689,0.9963937732063332,0.9978360844404306,1.0,4.0,0.0,0.0,0.9985828661429133,0.0,0.0,0.9996619353870961
93,5,1,0.0,300,continuous,d5_k1_s0.0,0.9994431536235903,0.9901839809435935,0.9907356685105835,1.0,4.0,0.0,0.0,0.9987375546097162,0.0,0.0,0.9998638741492133
94,5,1,0.1,30,continuous,d5_k1_s0.1,0.9223365660242232,0.5198461593779138,0.5636187250156806,1.0,4.0,0.0,0.0,0.9882044887780548,0.0,0.0,0.9918806367539796
95,5,1,0.1,100,continuous,d5_k1_s0.1,0.9614336637564632,0.983791572414487,1.0,1.0,4.0,0.0,0.0,0.9984274276714229,0.4726967549297878,0.0,0.9956840980256125
96,5,1,0.1,300,continuous,d5_k1_s0.1,0.9809159176428188,0.9805343400224371,0.9996109986457364,1.0,4.0,0.0,0.0,0.9987073669210432,0.4726967549297878,0.0,0.9980246751542197
97,5,1,0.3,30,continuous,d5_k1_s0.3,0.6843421182120811,0.7245949797600637,1.0,1.0,4.0,0.0,0.0,0.9860152250951567,0.7203106811556692,0.0,0.9695861849136557
98,5,1,0.3,100,continuous,d5_k1_s0.3,0.9007986019732944,0.8886156553971631,0.986475393556958,1.0,4.0,0.0,0.0,0.9846535915849474,0.4726967549297878,0.4726967549297878,0.984015150094688
99,5,1,0.3,300,continuous,d5_k1_s0.3,0.8988110371502367,0.9123146493253349,1.0,1.0,4.0,0.0,0.0,0.9979676747979674,0.4726967549297878,0.0,0.9947254045337783
100,5,1,0.0,30,binary,d5_k1_s0.0,0.9990471985158511,0.9731700872220017,0.9740982094416645,1.0,4.0,0.2010310126369155,0.0,0.9379390046293986,0.0,0.0,1.0
101,5,1,0.0,100,binary,d5_k1_s0.0,0.9999991962724615,0.9998639814982635,0.9998647851171261,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
102,5,1,0.0,300,binary,d5_k1_s0.0,0.9999999646992516,0.9971755593152092,0.997175594516254,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
103,5,1,0.1,30,binary,d5_k1_s0.1,0.9856465514281384,0.9615897699544657,0.9755928923620582,2.0,4.0,0.0,0.0,0.9951610485527401,0.0,0.0,0.995817893457654
104,5,1,0.1,100,binary,d5_k1_s0.1,0.9911039577050285,0.9927756847104809,1.0,2.0,4.0,0.0,0.0,0.9983206246014982,0.0,0.0,0.9989947400783615
105,5,1,0.1,300,binary,d5_k1_s0.1,0.9900693919095181,0.9895094625356039,0.9994344544145191,2.0,4.0,0.0,0.0,0.9916951075754831,0.0,0.0,0.9990013104046469
106,5,1,0.3,30,binary,d5_k1_s0.3,0.9105380358441653,0.9003016303976781,0.9887578497069626,2.0,4.0,0.0,0.0,0.9805647871247135,0.0,0.0,0.9740151104363909
107,5,1,0.3,100,binary,d5_k1_s0.3,0.9000876296466511,0.9122980802371266,1.0,2.0,4.0,0.0,0.0,0.9966872414869925,0.0,0.0,0.9950546092669197
108,5,1,0.3,300,binary,d5_k1_s0.3,0.9075617895341936,0.9145537890578378,1.0,2.0,4.0,0.0,0.0,0.9913729738638992,0.0,0.0,0.9955209147095622
109,5,2,0.0,30,integer,d5_k2_s0.0,0.9409557532520886,0.33137939550876394,0.35217319662849766,1.0,4.0,0.0,0.0,0.9182242235018324,0.0,0.0,0.9969448518954424
110,5,2,0.0,100,integer,d5_k2_s0.0,0.9956431401054573,0.9909763980239262,0.9953128366042509,2.0,4.0,0.0,0.0,0.9959865321481493,0.0,0.0,0.9995250589082578
111,5,2,0.0,300,integer,d5_k2_s0.0,0.9987995358788019,0.9910208736028931,0.9922119884957049,2.0,4.0,0.0,0.0,0.9963249722076022,0.0,0.0,0.9998479363500186
112,5,2,0.1,30,integer,d5_k2_s0.1,0.9749889203825991,0.9325291924302701,0.9564510661970731,1.0,4.0,0.056003411560971314,0.0,0.919260104696382,0.0,0.0,0.9936903897835726
113,5,2,0.1,100,integer,d5_k2_s0.1,0.9735492598450438,0.9746504491267061,1.0,2.0,4.0,0.0,0.0,0.9955331537194749,0.0,0.0,0.9936718271431927
114,5,2,0.1,300,integer,d5_k2_s0.1,0.987323163244313,0.9847452168273038,0.9973889537762507,2.0,4.0,0.0,0.0,0.9957917181748687,0.0,0.0,0.9977946083217253
115,5,2,0.3,30,integer,d5_k2_s0.3,0.8821512167359434,0.6608786351269418,0.749167061824463,1.0,4.0,0.0,0.0,0.914520984142103,0.0,0.0,0.9701115239684
116,5,2,0.3,100,integer,d5_k2_s0.3,0.9127890651356055,0.9028107002340762,0.9890682685818032,2.0,4.0,0.0,0.0,0.9951525258409765,0.0,0.0,0.9912277461598302
117,5,2,0.3,300,integer,d5_k2_s0.3,0.8949463420428703,0.9015671596241261,1.0,2.0,4.0,0.0,0.0,0.9962036587901696,0.0,0.0,0.99095680661085
118,5,2,0.0,30,continuous,d5_k2_s0.0,0.9533489387671625,0.9415550914260488,0.9876290339648721,2.0,4.0,0.049934892254730356,0.0,0.995019031368946,0.0,0.0,0.9952438452740328
119,5,2,0.0,100,continuous,d5_k2_s0.0,0.9979514632755555,0.9861959343239267,0.9882203399822234,2.0,4.0,0.049934892254730356,0.0,0.994219151369696,0.0,0.0,0.9995820598878742
120,5,2,0.0,300,continuous,d5_k2_s0.0,0.9995667982413063,0.9863280933175684,0.9867555575605044,2.0,4.0,0.0,0.0,0.9916351977199857,0.0,0.0,0.9998460615378845
121,5,2,0.1,30,continuous,d5_k2_s0.1,0.8929616155003595,0.8934037852844798,1.0,2.0,4.0,0.07949294683635533,0.0,0.9771803573772335,0.0,0.0,0.9885958037237731
122,5,2,0.1,100,continuous,d5_k2_s0.1,0.9723195459470899,0.9787635172072859,1.0,2.0,4.0,0.0,0.0,0.9911443196519977,0.0,0.0,0.9970380439877747
123,5,2,0.1,300,continuous,d5_k2_s0.1,0.9815755751806203,0.9740753911826195,0.9923590356283869,2.0,4.0,0.0,0.0,0.9931166444790279,0.0,0.0,0.9974979843624021
124,5,2,0.3,30,continuous,d5_k2_s0.3,0.8509425829183379,0.7319464553591984,0.8601596277494564,1.0,4.0,0.07513933956785161,0.0689496878992911,0.9556212851330319,0.08340247597525034,0.0,0.976325539534622
125,5,2,0.3,100,continuous,d5_k2_s0.3,0.8995575406898915,0.8983413534037037,0.9986480161288459,1.0,4.0,0.07513933956785161,0.0,0.9757722235763973,0.0,0.0,0.9920733879586746
126,5,2,0.3,300,continuous,d5_k2_s0.3,0.8843212301114279,0.8944358190021032,1.0,2.0,4.0,0.049934892254730356,0.0,0.9938606491290569,0.0,0.0,0.9941591509946937
127,5,2,0.0,30,binary,d5_k2_s0.0,0.9937527447379594,0.8885717370847365,0.8941577689116643,1.0,4.0,0.09291416075673012,0.0,0.9375318178009696,0.0,0.0,0.9997583997163122
128,5,2,0.0,100,binary,d5_k2_s0.0,0.9999909153575394,0.9919456717951898,0.9919546833488252,2.0,4.0,0.0,0.0,0.9973752485108591,0.0,0.0,1.0
129,5,2,0.0,300,binary,d5_k2_s0.0,0.9999943345086667,0.9926514568790284,0.9926570807691165,2.0,4.0,0.0,0.0,0.9970371582925827,0.0,0.0,1.0
130,5,2,0.1,30,binary,d5_k2_s0.1,0.9514754429263399,0.9201468504300331,0.9670736720225241,1.0,4.0,0.09291416075673012,0.0,0.9322055323266372,0.0,0.0,0.980221628369017
131,5,2,0.1,100,binary,d5_k2_s0.1,0.9809474853278647,0.9756953385281126,0.9946458430463313,2.0,4.0,0.0,0.0,0.9972851411789476,0.0,0.0,0.9991918498669182
