cell,d,k,sigma,N,encoding,cluster,r2_bb,r2_law,Lambda,depth_sel,terms_sel,law_top1_regret,law_top5_regret,law_spearman,bb_top1_regret,bb_top5_regret,bb_spearman
132,5,2,0.1,300,binary,d5_k2_s0.1,0.986037674680489,0.9800619120942303,0.9939396204225208,2.0,4.0,0.0,0.0,0.9970371582925827,0.0,0.0,0.9982654338607022
133,5,2,0.3,30,binary,d5_k2_s0.3,0.8023899463949087,0.7995153226197318,0.9964174229897914,1.0,4.0,0.09291416075673012,0.0,0.9298441648007922,0.0,0.0,0.980917707508034
134,5,2,0.3,100,binary,d5_k2_s0.3,0.874049164901674,0.8742636519852163,1.0,2.0,4.0,0.0,0.0,0.9894792181048909,0.0,0.0,0.993008234214486
135,5,2,0.3,300,binary,d5_k2_s0.3,0.901646237618651,0.9029617768243562,1.0,2.0,4.0,0.0,0.0,0.9970371582925827,0.0,0.0,0.9963853819250887
136,5,3,0.0,30,integer,d5_k3_s0.0,0.9620872939018399,0.9086991979615955,0.9445080542289217,2.0,4.0,0.3405501653724531,0.0,0.9652370496051874,0.0,0.0,0.9962430340879451
137,5,3,0.0,100,integer,d5_k3_s0.0,0.98998560960511,0.9654707381529882,0.9752371436369662,2.0,4.0,0.12462941936733751,0.0,0.9895102331711383,0.0,0.0,0.99935874515051
138,5,3,0.0,300,integer,d5_k3_s0.0,0.9990948595221717,0.9659496085842124,0.96682472077395,1.5,4.0,0.3405501653724531,0.0,0.9881939732169224,0.0,0.0,0.999825061177025
139,5,3,0.1,30,integer,d5_k3_s0.1,0.9201205161139282,0.5798260202676921,0.6301631254963767,2.0,4.0,0.3405501653724531,0.0,0.952502574417001,0.0,0.0,0.9897102971841223
140,5,3,0.1,100,integer,d5_k3_s0.1,0.9743620167458444,0.9516190587614665,0.9766586160035934,2.5,4.0,0.3405501653724531,0.0,0.9883799746235579,0.12462941936733751,0.0,0.9952567766293733
141,5,3,0.1,300,integer,d5_k3_s0.1,0.9812249507866301,0.9643720225537254,0.9828246028401602,2.5,4.0,0.0,0.0,0.9892976065631496,0.0,0.0,0.9978664213648115
142,5,3,0.3,30,integer,d5_k3_s0.3,0.8545923455311618,0.7990425280396132,0.9349984612171757,1.0,4.0,0.3405501653724531,0.0,0.9293586034031018,0.3405501653724531,0.0,0.9771700148482373
143,5,3,0.3,100,integer,d5_k3_s0.3,0.885914853739856,0.8530802976530871,0.962937119805409,1.0,4.0,0.3405501653724531,0.0,0.9710113011491069,0.0,0.0,0.9905774912422775
144,5,3,0.3,300,integer,d5_k3_s0.3,0.9076482813500574,0.9028980597395597,0.9947664511594381,2.0,4.0,0.12462941936733751,0.0,0.9867217120829475,0.12462941936733751,0.0,0.9932188237173543
145,5,3,0.0,30,continuous,d5_k3_s0.0,0.9492381846377206,0.7577544760382996,0.7982764371489108,1.0,4.0,0.12153510817907993,0.0,0.9564451652822828,0.04865143287765532,0.04865143287765532,0.9921633885211781
146,5,3,0.0,100,continuous,d5_k3_s0.0,0.9953762286824772,0.9837987712698806,0.9883687624046226,2.0,4.0,0.04865143287765532,0.0,0.9909376933605835,0.0,0.0,0.9994354339714623
147,5,3,0.0,300,continuous,d5_k3_s0.0,0.9992420133863924,0.988795279898672,0.989545342021482,2.0,4.0,0.0,0.0,0.9944190276189225,0.04865143287765532,0.0,0.9998100613128832
148,5,3,0.1,30,continuous,d5_k3_s0.1,0.915649844705066,0.7365119347995763,0.8043598096571614,2.0,4.0,0.12153510817907993,0.0,0.9817169482309264,0.2882731994607292,0.04865143287765532,0.9887557422233889
149,5,3,0.1,100,continuous,d5_k3_s0.1,0.9783452742871553,0.9706306083337669,0.9921145773827041,2.0,4.0,0.04865143287765532,0.0,0.9907029418933868,0.04865143287765532,0.0,0.9967288545553409
150,5,3,0.1,300,continuous,d5_k3_s0.1,0.9800125503721999,0.9782665735969249,0.9982184138615247,2.0,4.0,0.0,0.0,0.9942986518665741,0.0,0.0,0.9967899799373746
151,5,3,0.3,30,continuous,d5_k3_s0.3,0.8257466890039975,0.8507931718253309,1.0,1.0,4.0,0.04865143287765532,0.04865143287765532,0.9177226107663172,0.04865143287765532,0.0,0.9877910486940542
152,5,3,0.3,100,continuous,d5_k3_s0.3,0.8740828948639785,0.8676609600531479,0.9926529453344011,2.0,4.0,0.0,0.0,0.9928338927118294,0.04865143287765532,0.0,0.9930412690079313
153,5,3,0.3,300,continuous,d5_k3_s0.3,0.9009841677990702,0.9124089258639547,1.0,2.0,4.0,0.0,0.0,0.988541990887443,0.2122574197728838,0.12153510817907993,0.9915898224363902
154,5,3,0.0,30,binary,d5_k3_s0.0,0.9841512031489438,0.9065767029545669,0.921176238014885,1.0,4.0,0.0,0.0,0.9242310141088894,0.0,0.0,0.9923656563037918
155,5,3,0.0,100,binary,d5_k3_s0.0,0.9998779823168313,0.967979393789624,0.9680975188059501,2.5,4.0,0.0,0.0,0.9703965501657084,0.0,0.0,1.0
156,5,3,0.0,300,binary,d5_k3_s0.0,0.9999954651574932,0.9755864305223878,0.9755908546732649,3.0,4.0,0.0,0.0,0.9843235769306834,0.0,0.0,1.0
157,5,3,0.1,30,binary,d5_k3_s0.1,0.813270014147922,0.7666254228524434,0.9426456275480057,1.0,4.0,0.0,0.0,0.9479684352586937,0.0,0.0,0.9951721242456211
158,5,3,0.1,100,binary,d5_k3_s0.1,0.9865845796445503,0.9653326525752554,0.9784590926031383,2.5,4.0,0.0,0.0,0.9781059833051764,0.11945766119782096,0.11945766119782096,0.9951659293665521
159,5,3,0.1,300,binary,d5_k3_s0.1,0.989124887905121,0.9604416149623209,0.9710013636361444,2.0,4.0,0.0,0.0,0.9781059833051764,0.0,0.0,0.9983927104670274
160,5,3,0.3,30,binary,d5_k3_s0.3,0.7801622193735591,0.8000637927166374,1.0,1.0,4.0,0.0,0.0,0.9479684352586937,0.0,0.0,0.9631911549141208
161,5,3,0.3,100,binary,d5_k3_s0.3,0.8974524785889314,0.8852798455067779,0.9864364594532151,2.0,4.0,0.0,0.0,0.9824504707685715,0.0,0.0,0.9849090868645005
162,5,3,0.3,300,binary,d5_k3_s0.3,0.917514683038411,0.8947000349753139,0.9751342965024332,2.0,4.0,0.0,0.0,0.9703965501657084,0.0,0.0,0.9839284187355296
163,9,1,0.0,30,integer,d9_k1_s0.0,0.9523207224849574,0.31117990914602434,0.32675956933294564,2.0,4.0,0.276665954264953,0.0,0.8831920151436717,0.15691966320874692,0.0,0.9887915549472183
164,9,1,0.0,100,integer,d9_k1_s0.0,0.9839635281014546,0.9056851363957386,0.9204458402469925,2.0,4.0,0.15691966320874692,0.0,0.9670514019017975,0.0,0.0,0.9969622935143344
165,9,1,0.0,300,integer,d9_k1_s0.0,0.9930469494294187,0.9147959176480667,0.9212010753103735,2.0,4.0,0.15691966320874692,0.0,0.9670688395115998,0.0,0.0,0.9973806086288038
166,9,1,0.1,30,integer,d9_k1_s0.1,0.919937805975092,0.635893322915317,0.6912351234889179,1.0,4.0,0.15691966320874692,0.15691966320874692,0.8476323504540546,0.0,0.0,0.9853704085650535
167,9,1,0.1,100,integer,d9_k1_s0.1,0.9662777270859119,0.8531706267304602,0.8829455577988342,2.0,4.0,0.276665954264953,0.15691966320874692,0.9202550280594327,0.0,0.0,0.9949577184857404
168,9,1,0.1,300,integer,d9_k1_s0.1,0.9800185640920791,0.8517005994052662,0.8690657816204831,2.0,4.0,0.15691966320874692,0.0,0.9300397872855247,0.15691966320874692,0.0,0.9953623460146626
169,9,1,0.3,30,integer,d9_k1_s0.3,0.9080847643053732,0.31640880851942643,0.34843532339347083,1.0,4.0,0.276665954264953,0.15691966320874692,0.8409827780973491,0.0,0.0,0.9593159957249732
170,9,1,0.3,100,integer,d9_k1_s0.3,0.8655486917514762,0.8253022458992642,0.9535018119306823,2.0,4.0,0.15691966320874692,0.0,0.961169302362952,0.2354081978537216,0.0,0.9910749442184014
171,9,1,0.3,300,integer,d9_k1_s0.3,0.8852930326876571,0.8398338568797099,0.94865070193771,2.0,4.0,0.15691966320874692,0.0,0.9672259655010025,0.2354081978537216,0.0,0.9822710141938387
172,9,1,0.0,30,continuous,d9_k1_s0.0,0.9061169146824131,0.3066704702069144,0.33844470314782726,1.0,4.0,0.1255258665992664,0.0057943531103692185,0.6656070350439689,0.0,0.0,0.979179307370671
173,9,1,0.0,100,continuous,d9_k1_s0.0,0.9865939872675674,0.7172581781251275,0.7270044084817687,2.0,4.0,0.16747511157194886,0.0,0.8331923949524684,0.0,0.0,0.9967924174526089
174,9,1,0.0,300,continuous,d9_k1_s0.0,0.993369203284247,0.8428603623306791,0.8484865038537935,2.0,4.0,0.0,0.0,0.9139783998649991,0.0,0.0,0.997350233438959
175,9,1,0.1,30,continuous,d9_k1_s0.1,0.9149147509095515,0.20303912345091302,0.22192135742599417,1.0,4.0,0.23808670948992958,0.0,0.7617298858117862,0.0,0.0,0.983036956480978
176,9,1,0.1,100,continuous,d9_k1_s0.1,0.9783697026383315,0.7754967516228748,0.7926418301094391,2.0,4.0,0.0,0.0,0.9120381377383607,0.0,0.0,0.9949924062025387
177,9,1,0.1,300,continuous,d9_k1_s0.1,0.9806424043637159,0.8461564741972951,0.8628593567155796,2.0,4.0,0.0,0.0,0.9216563853524082,0.0,0.0,0.9919177619860123
178,9,1,0.3,30,continuous,d9_k1_s0.3,0.5620152117248318,0.21697484389947563,0.38606578500531524,1.0,4.0,0.2511457116600483,0.10059654513407988,0.6489423058894117,0.10059654513407988,0.0,0.9432658954118462
179,9,1,0.3,100,continuous,d9_k1_s0.3,0.8628623667181621,0.593687214196988,0.6880439304069277,2.0,4.0,0.0,0.0,0.8373247332795829,0.0,0.0,0.9814926968293551
180,9,1,0.3,300,continuous,d9_k1_s0.3,0.8917017078906052,0.7267531136939266,0.8150181919165791,2.0,4.0,0.0,0.0,0.9195784973656084,0.0,0.0,0.9861776011100069
181,9,1,0.0,30,binary,d9_k1_s0.0,0.9613145413103958,0.622328986360891,0.6473729040991892,1.0,4.0,0.4819616535819921,0.09892566841175139,0.7423698916778453,0.0,0.0,0.9933302888904995
182,9,1,0.0,100,binary,d9_k1_s0.0,0.9997734633517678,0.7799964338919143,0.7801731717072736,2.0,4.0,0.11179502906000144,0.0,0.8869301921557575,0.0,0.0,0.9999638116936793
183,9,1,0.0,300,binary,d9_k1_s0.0,0.9999825433128331,0.8336827268758364,0.8336972804684535,2.0,4.0,0.11179502906000144,0.0,0.9053821578679189,0.0,0.0,0.9999939998663095
184,9,1,0.1,30,binary,d9_k1_s0.1,0.9039932131958824,0.4778284720078798,0.5285752868858554,1.0,4.0,0.2624106723840284,0.09892566841175139,0.7930245569494419,0.0,0.0,0.984281337268546
185,9,1,0.1,100,binary,d9_k1_s0.1,0.980747168214951,0.8087746948858094,0.8246515729001318,2.0,4.0,0.11179502906000144,0.09892566841175139,0.8904749972644107,0.0,0.0,0.9960097235916539
186,9,1,0.1,300,binary,d9_k1_s0.1,0.9893410379146609,0.7323552623705192,0.7402455112083313,2.0,4.0,0.09892566841175139,0.0,0.8675297393271099,0.0,0.0,0.9985044666776481
187,9,1,0.3,30,binary,d9_k1_s0.3,0.7277164118496652,0.48737401785821943,0.6697306944327969,1.0,4.0,0.2624106723840284,0.11179502906000144,0.7231101554854699,0.0,0.0,0.9799790539082949
188,9,1,0.3,100,binary,d9_k1_s0.3,0.8810893369065635,0.7527166104454148,0.8543022584839632,2.0,4.0,0.11179502906000144,0.11179502906000144,0.902652684451628,0.0,0.0,0.9901612807810374
