id,nom_d,eff_d,r2_law,r2_bb,N
RASK_HUMAN_Weng_2022_binding-DARPin_K55,182,20.48,0.389,0.613,1500
RBP1_HUMAN_Tsuboyama_2023_2KWH,52,16.72,0.234,0.516,1332
RCD1_ARATH_Tsuboyama_2023_5OAO,57,12.35,0.241,0.381,1261
RCRO_LAMBD_Tsuboyama_2023_1ORC,63,5.75,0.486,0.543,1500
RD23A_HUMAN_Tsuboyama_2023_1IFY,44,15.76,0.143,0.537,1019
RFAH_ECOLI_Tsuboyama_2023_2LCL,55,21.47,0.111,0.314,1326
RL20_AQUAE_Tsuboyama_2023_1GYZ,59,2.11,0.645,0.749,1461
RPC1_BP434_Tsuboyama_2023_1R69,61,10.31,0.312,0.479,1459
SAV1_MOUSE_Tsuboyama_2023_2YSB,42,18.67,0.152,0.568,965
SDA_BACSU_Tsuboyama_2023_1PV0,44,4.39,0.633,0.75,1500
SPA_STAAU_Tsuboyama_2023_1LP1,55,16.9,0.268,0.507,1500
SPG1_STRSG_Olson_2014,55,25.8,0.303,0.568,1500
SPG1_STRSG_Wu_2016,4,3.95,-0.457,0.137,1500
SPG2_STRSG_Tsuboyama_2023_5UBS,56,8.88,0.474,0.587,1451
SPTN1_CHICK_Tsuboyama_2023_1TUD,59,8.75,0.344,0.439,1500
SR43C_ARATH_Tsuboyama_2023_2N88,48,8.34,0.39,0.571,1500
SRBS1_HUMAN_Tsuboyama_2023_2O2W,67,9.2,0.333,0.525,1500
TCRG1_MOUSE_Tsuboyama_2023_1E0L,35,5.64,0.566,0.705,1058
THO1_YEAST_Tsuboyama_2023_2WQG,41,8.72,0.375,0.545,1279
TNKS2_HUMAN_Tsuboyama_2023_5JRT,59,27.08,0.086,0.421,1479
UBE4B_HUMAN_Tsuboyama_2023_3L1X,69,18.72,0.169,0.312,1500
UBR5_HUMAN_Tsuboyama_2023_1I2T,58,18.91,0.261,0.525,1453
VILI_CHICK_Tsuboyama_2023_1YU5,65,4.52,0.55,0.614,1500
YAIA_ECOLI_Tsuboyama_2023_2KVT,52,9.94,0.419,0.531,1500
YAP1_HUMAN_Araya_2012,34,18.67,0.045,0.213,1500
YNZC_BACSU_Tsuboyama_2023_2JVD,39,7.32,0.506,0.673,1500
