family,d_nom,d_eff,rep,r2_law,top1_regret,n_terms,traj,depth_sel
michaelis_menten,20,9,10,0.8645339180847857,0.0823750668845273,10.0,t1,
michaelis_menten,20,9,11,0.8000792663915806,0.1936092660758588,10.0,t1,
michaelis_menten,20,9,12,0.8661782445533656,0.0878494639181928,10.0,t1,
michaelis_menten,20,9,13,0.859544727063526,0.0,8.0,t1,
michaelis_menten,20,9,14,0.8954709000543924,0.0,10.0,t1,
michaelis_menten,20,9,15,0.8470388749339405,0.0487758849614392,10.0,t1,
michaelis_menten,20,9,16,0.8454854415085462,0.1680337476836686,7.0,t1,
michaelis_menten,20,9,17,0.8789748426360693,0.0,10.0,t1,
michaelis_menten,20,9,18,0.8329689117991976,0.2112060283410269,8.0,t1,
michaelis_menten,20,9,19,0.8677102539292295,0.0,10.0,t1,
michaelis_menten,67,3,0,0.9656861165239878,0.0,7.0,t1,
michaelis_menten,67,3,1,0.9587578931753802,0.0,5.0,t1,
michaelis_menten,67,3,2,0.9775325191086512,0.0,4.0,t1,
michaelis_menten,67,3,3,0.9837860166230136,0.0670901746778853,4.0,t1,
michaelis_menten,67,3,4,0.9523722551524556,0.1470246812729209,4.0,t1,
michaelis_menten,67,3,5,0.9842857274803308,0.0,4.0,t1,
michaelis_menten,67,3,6,0.9619426432039858,0.0,9.0,t1,
michaelis_menten,67,3,7,0.9559077203958568,0.0,6.0,t1,
michaelis_menten,67,3,8,0.9196378877971624,0.0,3.0,t1,
michaelis_menten,67,3,9,0.9658317505087488,0.0,6.0,t1,
michaelis_menten,67,3,10,0.9702382293836443,0.0955311662100157,2.0,t1,
michaelis_menten,67,3,11,0.9635157644708549,0.0,5.0,t1,
michaelis_menten,67,3,12,0.9277940615312908,0.0,2.0,t1,
michaelis_menten,67,3,13,0.9798428491566572,0.0,4.0,t1,
michaelis_menten,67,3,14,0.9173193773900518,0.0,6.0,t1,
michaelis_menten,67,3,15,0.98101588590239,0.0,5.0,t1,
michaelis_menten,67,3,16,0.9860472844619697,0.0,4.0,t1,
